hashtag,category,subcategory,language,estimated_posts,avg_engagement_rate,professional_use
wellnessaddict,Wellness & Wellness,General,en,383441,3.7,False
wellnessjunkie,Wellness & Wellness,General,en,1158,4.3,False
wellnessobsessed,Wellness & Wellness,General,en,2092894,4.0,False
wellnesstime,Wellness & Wellness,General,en,10783,3.6,False
wellnessday,Wellness & Wellness,General,en,1907016,4.5,False
wellnessgoals,Wellness & Wellness,General,en,33184,4.2,False
wellnessvibes,Wellness & Wellness,General,en,2136212,4.1,False
wellnessmood,Wellness & Wellness,General,en,3265763,4.4,False
wellnessinspiration,Wellness & Wellness,General,en,24808,3.4,False
wellnessmotivation,Wellness & Wellness,General,en,28907,3.2,False
wellnesscommunity,Wellness & Wellness,General,en,385529,4.5,False
wellbeinglife,Wellness & Wellness,General,en,15184,4.0,False
wellbeinglove,Wellness & Wellness,General,en,24830,3.8,False
wellbeinglover,Wellness & Wellness,General,en,255943,4.2,False
wellbeinglovers,Wellness & Wellness,General,en,2883388,4.1,False
wellbeingaddict,Wellness & Wellness,General,en,394255,4.5,False
wellbeingjunkie,Wellness & Wellness,General,en,253212,4.4,False
wellbeingobsessed,Wellness & Wellness,General,en,17145,3.3,False
wellbeingtime,Wellness & Wellness,General,en,1763141,4.5,False
wellbeingday,Wellness & Wellness,General,en,2120,4.1,False
wellbeinggoals,Wellness & Wellness,General,en,2888473,3.7,False
wellbeingvibes,Wellness & Wellness,General,en,171849,3.3,False
wellbeingmood,Wellness & Wellness,General,en,2794,4.0,False
wellbeinginspiration,Wellness & Wellness,General,en,4694440,4.2,False
wellbeingmotivation,Wellness & Wellness,General,en,26082,4.4,False
wellbeingcommunity,Wellness & Wellness,General,en,108432,3.5,False
selfcarelife,Wellness & Wellness,General,en,33997,4.3,False
selfcarelove,Wellness & Wellness,General,en,22150,3.3,False
selfcarelover,Wellness & Wellness,General,en,44252,4.1,False
selfcarelovers,Wellness & Wellness,General,en,16890,4.0,False
selfcareaddict,Wellness & Wellness,General,en,2009,4.1,False
selfcarejunkie,Wellness & Wellness,General,en,398331,3.6,False
selfcareobsessed,Wellness & Wellness,General,en,4680,3.9,False
selfcaretime,Wellness & Wellness,General,en,43645,3.4,False
selfcareday,Wellness & Wellness,General,en,1129,3.4,False
selfcaregoals,Wellness & Wellness,General,en,38022,4.0,False
selfcarevibes,Wellness & Wellness,General,en,4602,4.0,False
selfcaremood,Wellness & Wellness,General,en,2981050,3.6,False
selfcareinspiration,Wellness & Wellness,General,en,3463,3.3,False
selfcaremotivation,Wellness & Wellness,General,en,4816,4.4,False
selfcarecommunity,Wellness & Wellness,General,en,42494,3.3,False
selflovelife,Wellness & Wellness,General,en,18244,3.9,False
selflovelove,Wellness & Wellness,General,en,26674,3.4,False
selflovelover,Wellness & Wellness,General,en,16096,4.4,False
selflovelovers,Wellness & Wellness,General,en,16731,3.8,False
selfloveaddict,Wellness & Wellness,General,en,994,4.3,False
selflovejunkie,Wellness & Wellness,General,en,4001354,4.3,False
selfloveobsessed,Wellness & Wellness,General,en,52624,3.4,False
selflovetime,Wellness & Wellness,General,en,4943,4.0,False
selfloveday,Wellness & Wellness,General,en,4312,4.5,False
selflovegoals,Wellness & Wellness,General,en,27863,4.3,False
selflovevibes,Wellness & Wellness,General,en,496424,4.5,False
selflovemood,Wellness & Wellness,General,en,2936064,3.8,False
selfloveinspiration,Wellness & Wellness,General,en,25532,3.5,False
selflovemotivation,Wellness & Wellness,General,en,97205,4.4,False
selflovecommunity,Wellness & Wellness,General,en,1675,3.8,False
beautylife,Beauty & Wellness,General,en,4376,3.9,False
beautylove,Beauty & Wellness,General,en,127603,3.9,False
beautylover,Beauty & Wellness,General,en,17923,4.4,False
beautylovers,Beauty & Wellness,General,en,45594,3.4,False
beautyaddict,Beauty & Wellness,General,en,48111,3.5,False
beautyjunkie,Beauty & Wellness,General,en,267427,3.8,False
beautyobsessed,Beauty & Wellness,General,en,2913,3.4,False
beautytime,Beauty & Wellness,General,en,2832,4.2,False
beautyday,Beauty & Wellness,General,en,34841,3.6,False
beautygoals,Beauty & Wellness,General,en,355330,4.4,False
beautyvibes,Beauty & Wellness,General,en,2079466,3.7,False
beautymood,Beauty & Wellness,General,en,40854,3.9,False
beautyinspiration,Beauty & Wellness,General,en,2942,3.3,False
beautymotivation,Beauty & Wellness,General,en,1300466,3.4,False
beautycommunity,Beauty & Wellness,General,en,1118,4.0,False
beautycarelife,Beauty & Wellness,General,en,22457,4.1,False
beautycarelove,Beauty & Wellness,General,en,12493,3.5,False
beautycarelover,Beauty & Wellness,General,en,2538,3.3,False
beautycarelovers,Beauty & Wellness,General,en,4592421,3.2,False
beautycareaddict,Beauty & Wellness,General,en,1972247,3.3,False
beautycarejunkie,Beauty & Wellness,General,en,1003,3.3,False
beautycareobsessed,Beauty & Wellness,General,en,1221,3.3,False
beautycaretime,Beauty & Wellness,General,en,2438400,3.4,False
beautycareday,Beauty & Wellness,General,en,1540018,3.6,False
beautycaregoals,Beauty & Wellness,General,en,17193,3.6,False
beautycarevibes,Beauty & Wellness,General,en,3206037,4.4,False
beautycaremood,Beauty & Wellness,General,en,4952616,3.2,False
beautycareinspiration,Beauty & Wellness,General,en,1846198,3.7,False
beautycaremotivation,Beauty & Wellness,General,en,4325,3.5,False
beautycarecommunity,Beauty & Wellness,General,en,1657,3.7,False
beautytipslife,Beauty & Wellness,General,en,4700042,4.1,False
beautytipslove,Beauty & Wellness,General,en,35252,4.2,False
beautytipslover,Beauty & Wellness,General,en,16022,4.0,False
beautytipslovers,Beauty & Wellness,General,en,12710,3.6,False
beautytipsaddict,Beauty & Wellness,General,en,9557,3.6,False
beautytipsjunkie,Beauty & Wellness,General,en,27782,4.0,False
beautytipsobsessed,Beauty & Wellness,General,en,462339,4.1,False
beautytipstime,Beauty & Wellness,General,en,3338,3.9,False
beautytipsday,Beauty & Wellness,General,en,221817,3.9,False
beautytipsgoals,Beauty & Wellness,General,en,438099,4.3,False
beautytipsvibes,Beauty & Wellness,General,en,428114,3.3,False
beautytipsmood,Beauty & Wellness,General,en,581,3.7,False
beautytipsinspiration,Beauty & Wellness,General,en,158821,4.2,False
beautytipsmotivation,Beauty & Wellness,General,en,470739,3.5,False
beautytipscommunity,Beauty & Wellness,General,en,4736,4.3,False
beautyproductslife,Beauty & Wellness,General,en,27327,3.2,False
beautyproductslove,Beauty & Wellness,General,en,1378,4.0,False
beautyproductslover,Beauty & Wellness,General,en,4249,3.8,False
beautyproductslovers,Beauty & Wellness,General,en,4197402,3.3,False
beautyproductsaddict,Beauty & Wellness,General,en,1895,3.7,False
beautyproductsjunkie,Beauty & Wellness,General,en,49674,3.3,False
beautyproductsobsessed,Beauty & Wellness,General,en,69259,3.8,False
beautyproductstime,Beauty & Wellness,General,en,4666651,3.4,False
beautyproductsday,Beauty & Wellness,General,en,73574,4.5,False
beautyproductsgoals,Beauty & Wellness,General,en,1794,4.3,False
beautyproductsvibes,Beauty & Wellness,General,en,3556444,4.2,False
beautyproductsmood,Beauty & Wellness,General,en,1286,4.0,False
beautyproductsinspiration,Beauty & Wellness,General,en,213018,3.5,False
beautyproductsmotivation,Beauty & Wellness,General,en,4595652,4.2,False
beautyproductscommunity,Beauty & Wellness,General,en,13772,4.2,False
skincarelife,Skincare & Wellness,General,en,1011,3.6,False
skincarelove,Skincare & Wellness,General,en,282582,4.3,False
skincarelover,Skincare & Wellness,General,en,40650,4.0,False
skincarelovers,Skincare & Wellness,General,en,4013,3.9,False
skincareaddict,Skincare & Wellness,General,en,4877,3.8,False
skincarejunkie,Skincare & Wellness,General,en,47794,4.4,False
skincareobsessed,Skincare & Wellness,General,en,2794242,3.4,False
skincaretime,Skincare & Wellness,General,en,106864,3.9,False
skincareday,Skincare & Wellness,General,en,359447,4.3,False
skincaregoals,Skincare & Wellness,General,en,1264073,3.5,False
skincarevibes,Skincare & Wellness,General,en,13236,4.0,False
skincaremood,Skincare & Wellness,General,en,3846456,3.9,False
skincareinspiration,Skincare & Wellness,General,en,1820,3.4,False
skincaremotivation,Skincare & Wellness,General,en,878501,3.3,False
skincarecommunity,Skincare & Wellness,General,en,4462,3.3,False
skinlife,Skincare & Wellness,General,en,34246,3.5,False
skinlove,Skincare & Wellness,General,en,340769,3.8,False
skinlover,Skincare & Wellness,General,en,36944,3.9,False
skinlovers,Skincare & Wellness,General,en,1230,4.3,False
skinaddict,Skincare & Wellness,General,en,2204,4.1,False
skinjunkie,Skincare & Wellness,General,en,3319,3.9,False
skinobsessed,Skincare & Wellness,General,en,17063,3.3,False
skintime,Skincare & Wellness,General,en,2991,3.2,False
skinday,Skincare & Wellness,General,en,1743208,3.4,False
skingoals,Skincare & Wellness,General,en,454503,4.5,False
skinvibes,Skincare & Wellness,General,en,15441,4.0,False
skinmood,Skincare & Wellness,General,en,784927,3.7,False
skininspiration,Skincare & Wellness,General,en,42802,3.3,False
skinmotivation,Skincare & Wellness,General,en,824,3.7,False
skincommunity,Skincare & Wellness,General,en,321351,4.2,False
facelife,Skincare & Wellness,General,en,41599,4.1,False
facelove,Skincare & Wellness,General,en,285204,3.6,False
facelover,Skincare & Wellness,General,en,329765,3.8,False
facelovers,Skincare & Wellness,General,en,621800,3.4,False
faceaddict,Skincare & Wellness,General,en,440709,3.9,False
facejunkie,Skincare & Wellness,General,en,3478,4.0,False
faceobsessed,Skincare & Wellness,General,en,54576,3.3,False
facetime,Skincare & Wellness,General,en,1723,3.7,False
faceday,Skincare & Wellness,General,en,4200,3.3,False
facegoals,Skincare & Wellness,General,en,40254,3.4,False
facevibes,Skincare & Wellness,General,en,3693864,3.4,False
facemood,Skincare & Wellness,General,en,287988,4.3,False
faceinspiration,Skincare & Wellness,General,en,7946,3.3,False
facemotivation,Skincare & Wellness,General,en,468392,3.9,False
facecommunity,Skincare & Wellness,General,en,1618555,3.5,False
faciallife,Skincare & Wellness,General,en,2952,3.9,False
faciallove,Skincare & Wellness,General,en,4816665,3.5,False
faciallover,Skincare & Wellness,General,en,8554,3.9,False
faciallovers,Skincare & Wellness,General,en,30514,4.5,False
facialaddict,Skincare & Wellness,General,en,247424,3.5,False
facialjunkie,Skincare & Wellness,General,en,78163,3.8,False
facialobsessed,Skincare & Wellness,General,en,6310,3.4,False
facialtime,Skincare & Wellness,General,en,104765,3.3,False
facialday,Skincare & Wellness,General,en,6716,4.0,False
facialgoals,Skincare & Wellness,General,en,103616,3.4,False
facialvibes,Skincare & Wellness,General,en,13354,4.4,False
facialmood,Skincare & Wellness,General,en,380213,3.7,False
facialinspiration,Skincare & Wellness,General,en,91764,4.1,False
facialmotivation,Skincare & Wellness,General,en,3797,3.5,False
facialcommunity,Skincare & Wellness,General,en,34806,4.5,False
massagetherapy,Spa Treatments,Massage,en,11374,4.1,False
massagetreatment,Spa Treatments,Massage,en,29552,4.3,False
massagetime,Spa Treatments,Massage,en,40949,3.9,False
massageday,Spa Treatments,Massage,en,225825,4.2,False
facialtherapy,Spa Treatments,Facial,en,83446,4.2,False
facialtreatment,Spa Treatments,Facial,en,14917,4.3,False
facialtime,Spa Treatments,Facial,en,45019,4.2,False
facialday,Spa Treatments,Facial,en,207776,3.9,False
manicuretherapy,Spa Treatments,Manicure,en,26850,4.3,False
manicuretreatment,Spa Treatments,Manicure,en,80579,4.0,False
manicuretime,Spa Treatments,Manicure,en,435904,4.2,False
manicureday,Spa Treatments,Manicure,en,47715,4.2,False
pedicuretherapy,Spa Treatments,Pedicure,en,446748,4.3,False
pedicuretreatment,Spa Treatments,Pedicure,en,41232,4.1,False
pedicuretime,Spa Treatments,Pedicure,en,107442,4.0,False
pedicureday,Spa Treatments,Pedicure,en,30023,3.9,False
waxingtherapy,Spa Treatments,Waxing,en,435083,4.1,False
waxingtreatment,Spa Treatments,Waxing,en,18096,4.3,False
waxingtime,Spa Treatments,Waxing,en,433292,4.2,False
waxingday,Spa Treatments,Waxing,en,38351,4.2,False
bodywraptherapy,Spa Treatments,Bodywrap,en,10846,4.3,False
bodywraptreatment,Spa Treatments,Bodywrap,en,13807,3.9,False
bodywraptime,Spa Treatments,Bodywrap,en,235792,4.0,False
bodywrapday,Spa Treatments,Bodywrap,en,14880,4.2,False
bodyscrubtherapy,Spa Treatments,Bodyscrub,en,49055,3.8,False
bodyscrubtreatment,Spa Treatments,Bodyscrub,en,122655,4.3,False
bodyscrubtime,Spa Treatments,Bodyscrub,en,250198,4.0,False
bodyscrubday,Spa Treatments,Bodyscrub,en,21616,4.1,False
peeltherapy,Spa Treatments,Peel,en,27770,3.8,False
peeltreatment,Spa Treatments,Peel,en,46355,4.2,False
peeltime,Spa Treatments,Peel,en,76607,4.1,False
peelday,Spa Treatments,Peel,en,427814,4.2,False
microdermabrasiontherapy,Spa Treatments,Microdermabrasion,en,17498,4.2,False
microdermabrasiontreatment,Spa Treatments,Microdermabrasion,en,367283,4.0,False
microdermabrasiontime,Spa Treatments,Microdermabrasion,en,5847,4.1,False
microdermabrasionday,Spa Treatments,Microdermabrasion,en,132933,4.3,False
hydrafacialtherapy,Spa Treatments,Hydrafacial,en,37233,4.1,False
hydrafacialtreatment,Spa Treatments,Hydrafacial,en,13628,3.8,False
hydrafacialtime,Spa Treatments,Hydrafacial,en,327435,4.2,False
hydrafacialday,Spa Treatments,Hydrafacial,en,6235,4.0,False
retinol,Skincare,Ingredients,en,16485,4.3,False
retinolserum,Skincare,Ingredients,en,25447,4.5,False
retinolskincare,Skincare,Ingredients,en,462869,4.6,False
vitaminc,Skincare,Ingredients,en,89376,4.4,False
vitamincserum,Skincare,Ingredients,en,6170,4.2,False
vitamincskincare,Skincare,Ingredients,en,1140257,4.3,False
niacinamide,Skincare,Ingredients,en,3288308,4.4,False
niacinamideserum,Skincare,Ingredients,en,8070,4.2,False
niacinamideskincare,Skincare,Ingredients,en,37126,4.4,False
hyaluronicacid,Skincare,Ingredients,en,4832955,4.5,False
hyaluronicacidserum,Skincare,Ingredients,en,3506506,4.1,False
hyaluronicacidskincare,Skincare,Ingredients,en,989397,4.4,False
salicylicacid,Skincare,Ingredients,en,37235,4.5,False
salicylicacidserum,Skincare,Ingredients,en,24964,4.4,False
salicylicacidskincare,Skincare,Ingredients,en,138084,4.6,False
glycolicacid,Skincare,Ingredients,en,2991820,4.3,False
glycolicacidserum,Skincare,Ingredients,en,27542,4.6,False
glycolicacidskincare,Skincare,Ingredients,en,22311,4.0,False
peptides,Skincare,Ingredients,en,48884,4.2,False
peptidesserum,Skincare,Ingredients,en,397015,4.1,False
peptidesskincare,Skincare,Ingredients,en,450369,4.5,False
ceramides,Skincare,Ingredients,en,191586,4.5,False
ceramidesserum,Skincare,Ingredients,en,21504,4.5,False
ceramidesskincare,Skincare,Ingredients,en,1165917,4.2,False
collagen,Skincare,Ingredients,en,157585,4.2,False
collagenserum,Skincare,Ingredients,en,39739,4.4,False
collagenskincare,Skincare,Ingredients,en,453833,4.5,False
elastin,Skincare,Ingredients,en,77686,4.2,False
elastinserum,Skincare,Ingredients,en,1789485,4.2,False
elastinskincare,Skincare,Ingredients,en,345279,4.6,False
antioxidants,Skincare,Ingredients,en,2154616,4.1,False
antioxidantsserum,Skincare,Ingredients,en,139528,4.3,False
antioxidantsskincare,Skincare,Ingredients,en,416290,4.5,False
bakuchiol,Skincare,Ingredients,en,128180,4.1,False
bakuchiolserum,Skincare,Ingredients,en,2755824,4.2,False
bakuchiolskincare,Skincare,Ingredients,en,296079,4.3,False
azelaic acid,Skincare,Ingredients,en,285930,4.2,False
azelaic acidserum,Skincare,Ingredients,en,11065,4.6,False
azelaic acidskincare,Skincare,Ingredients,en,39940,4.4,False
tranexamicacid,Skincare,Ingredients,en,32726,4.4,False
tranexamicacidserum,Skincare,Ingredients,en,2200624,4.5,False
tranexamicacidskincare,Skincare,Ingredients,en,1481263,4.1,False
hotstonemassage,Spa Treatments,Massage Styles,en,30558,4.2,False
hotstonetherapy,Spa Treatments,Massage Styles,en,27329,4.1,False
aromatherapymassage,Spa Treatments,Massage Styles,en,60918,4.2,False
aromatherapytherapy,Spa Treatments,Massage Styles,en,1075,4.2,False
reflexologymassage,Spa Treatments,Massage Styles,en,28125,4.2,False
reflexologytherapy,Spa Treatments,Massage Styles,en,36381,4.4,False
shiatsumassage,Spa Treatments,Massage Styles,en,9056,4.2,False
shiatsutherapy,Spa Treatments,Massage Styles,en,48868,4.0,False
swedishmassage,Spa Treatments,Massage Styles,en,3870,4.2,False
swedishtherapy,Spa Treatments,Massage Styles,en,12669,4.1,False
deeptissuemassage,Spa Treatments,Massage Styles,en,183302,4.2,False
deeptissuetherapy,Spa Treatments,Massage Styles,en,3071,4.5,False
thaimassage,Spa Treatments,Massage Styles,en,24224,3.9,False
thaitherapy,Spa Treatments,Massage Styles,en,1194,4.0,False
balinesemassage,Spa Treatments,Massage Styles,en,247113,4.1,False
balinesetherapy,Spa Treatments,Massage Styles,en,3116,4.0,False
lomi lomimassage,Spa Treatments,Massage Styles,en,2105,4.4,False
lomi lomitherapy,Spa Treatments,Massage Styles,en,4196,4.0,False
prenatalmassage,Spa Treatments,Massage Styles,en,4273,4.2,False
prenataltherapy,Spa Treatments,Massage Styles,en,495753,4.1,False
couplesmassage,Spa Treatments,Massage Styles,en,30415,4.1,False
couplestherapy,Spa Treatments,Massage Styles,en,17562,4.4,False
sportsmassage,Spa Treatments,Massage Styles,en,155931,4.3,False
sportstherapy,Spa Treatments,Massage Styles,en,166645,4.4,False
lymphaticmassage,Spa Treatments,Massage Styles,en,5171,4.0,False
lymphatictherapy,Spa Treatments,Massage Styles,en,143274,4.2,False
trigger pointmassage,Spa Treatments,Massage Styles,en,441312,4.4,False
trigger pointtherapy,Spa Treatments,Massage Styles,en,491590,3.9,False
myofascialmassage,Spa Treatments,Massage Styles,en,21275,4.4,False
myofascialtherapy,Spa Treatments,Massage Styles,en,1976,4.1,False
hathayoga,Yoga & Meditation,Yoga Styles,en,1520036,4.1,False
hathayogapractice,Yoga & Meditation,Yoga Styles,en,45676,4.2,False
vinyasayoga,Yoga & Meditation,Yoga Styles,en,478488,3.7,False
vinyasayogapractice,Yoga & Meditation,Yoga Styles,en,377308,3.9,False
ashtangayoga,Yoga & Meditation,Yoga Styles,en,20489,4.2,False
ashtangayogapractice,Yoga & Meditation,Yoga Styles,en,163296,3.8,False
yinyoga,Yoga & Meditation,Yoga Styles,en,2717222,4.1,False
yinyogapractice,Yoga & Meditation,Yoga Styles,en,3336237,3.8,False
bikramyoga,Yoga & Meditation,Yoga Styles,en,48832,3.7,False
bikramyogapractice,Yoga & Meditation,Yoga Styles,en,22869,4.3,False
hotyoga,Yoga & Meditation,Yoga Styles,en,4576358,4.1,False
hotyogapractice,Yoga & Meditation,Yoga Styles,en,4528254,4.1,False
poweryoga,Yoga & Meditation,Yoga Styles,en,289607,4.2,False
poweryogapractice,Yoga & Meditation,Yoga Styles,en,6088,3.8,False
restorativeyoga,Yoga & Meditation,Yoga Styles,en,22324,4.2,False
restorativeyogapractice,Yoga & Meditation,Yoga Styles,en,126998,4.2,False
prenatalyoga,Yoga & Meditation,Yoga Styles,en,340833,4.1,False
prenatalyogapractice,Yoga & Meditation,Yoga Styles,en,2461841,4.3,False
aerialyoga,Yoga & Meditation,Yoga Styles,en,1682691,4.1,False
aerialyogapractice,Yoga & Meditation,Yoga Styles,en,377990,4.1,False
kundaliniyoga,Yoga & Meditation,Yoga Styles,en,23841,3.9,False
kundaliniyogapractice,Yoga & Meditation,Yoga Styles,en,403157,4.2,False
iyengaryoga,Yoga & Meditation,Yoga Styles,en,45929,4.3,False
iyengaryogapractice,Yoga & Meditation,Yoga Styles,en,3491037,4.2,False
faceserum,Skincare,Products,en,230118,4.1,False
skinserum,Skincare,Products,en,483656,4.4,False
anti agingserum,Skincare,Products,en,3612167,4.5,False
facemoisturizer,Skincare,Products,en,4324243,4.5,False
skinmoisturizer,Skincare,Products,en,420393,4.5,False
anti agingmoisturizer,Skincare,Products,en,37965,4.3,False
facecleanser,Skincare,Products,en,42475,4.4,False
skincleanser,Skincare,Products,en,40195,4.0,False
anti agingcleanser,Skincare,Products,en,76541,4.3,False
facetoner,Skincare,Products,en,392871,4.4,False
skintoner,Skincare,Products,en,4117490,4.4,False
anti agingtoner,Skincare,Products,en,2192400,4.0,False
faceessence,Skincare,Products,en,28478,4.1,False
skinessence,Skincare,Products,en,4974936,4.4,False
anti agingessence,Skincare,Products,en,1943620,4.4,False
faceampoule,Skincare,Products,en,882330,4.3,False
skinampoule,Skincare,Products,en,26153,4.3,False
anti agingampoule,Skincare,Products,en,3732385,4.0,False
facecream,Skincare,Products,en,209206,4.0,False
skincream,Skincare,Products,en,1794469,4.2,False
anti agingcream,Skincare,Products,en,1675373,4.4,False
facelotion,Skincare,Products,en,835323,4.3,False
skinlotion,Skincare,Products,en,414500,4.1,False
anti aginglotion,Skincare,Products,en,39611,4.1,False
faceoil,Skincare,Products,en,13712,4.1,False
skinoil,Skincare,Products,en,331525,4.2,False
anti agingoil,Skincare,Products,en,413982,4.5,False
facebalm,Skincare,Products,en,209781,4.1,False
skinbalm,Skincare,Products,en,2391460,4.3,False
anti agingbalm,Skincare,Products,en,225288,4.3,False
facegel,Skincare,Products,en,27392,4.0,False
skingel,Skincare,Products,en,32808,4.5,False
anti aginggel,Skincare,Products,en,466500,4.4,False
facemist,Skincare,Products,en,46111,4.4,False
skinmist,Skincare,Products,en,77078,4.3,False
anti agingmist,Skincare,Products,en,7090,4.4,False
facespray,Skincare,Products,en,10841,4.5,False
